Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
Corte do Pinto,PS,"53,08%",207,PCP-PEV,"19,23%",75,CH,"10,77%",42,PPD/PSD,"6,92%",27,B.E.,"3,33%",13,PCTP/MRPP,"1,28%",5,IL,"1,03%",4,CDS-PP,"0,51%",2,MAS,"0,51%",2,R.I.R.,"0,51%",2,E,"0,26%",1,PAN,"0,26%",1,PTP,"0,26%",1,L,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,28%",5,NULOS,"0,77%",3,,,,,,,,,,,,
Ilha,PPD/PSD.CDS-PP,"53,08%",69,PS,"30,77%",40,IL,"3,85%",5,PCP-PEV,"3,85%",5,JPP,"3,08%",4,B.E.,"1,54%",2,L,"1,54%",2,ADN,"0,00%",0,CH,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PPM,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,77%",1,NULOS,"1,54%",2,,,,,,,,,,,,
Aldeia da Ponte,PS,"53,13%",85,PPD/PSD,"21,88%",35,CH,"11,25%",18,B.E.,"3,75%",6,CDS-PP,"3,75%",6,PCP-PEV,"1,88%",3,PAN,"1,25%",2,L,"0,63%",1,MAS,"0,63%",1,VP,"0,63%",1,E,"0,00%",0,IL,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,63%",1,NULOS,"0,63%",1,,,,,,,,,,,,,,,
União das freguesias de Paredes de Coura e Resende,PS,"53,13%",544,PPD/PSD,"22,66%",232,CH,"4,79%",49,PCP-PEV,"4,20%",43,B.E.,"3,52%",36,IL,"2,83%",29,PAN,"1,86%",19,L,"1,56%",16,CDS-PP,"1,46%",15,R.I.R.,"0,68%",7,MAS,"0,20%",2,A,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,86%",19,NULOS,"1,27%",13,,,,,,,,,,,,,,,
Marvila,PS,"53,14%","9,425",PPD/PSD,"14,29%","2,535",CH,"9,62%","1,707",PCP-PEV,"5,59%",992,B.E.,"5,10%",904,IL,"4,03%",715,PAN,"1,80%",319,L,"1,60%",283,CDS-PP,"0,93%",165,PCTP/MRPP,"0,70%",124,R.I.R.,"0,32%",56,PTP,"0,23%",41,ADN,"0,20%",35,MPT,"0,15%",26,MAS,"0,13%",23,NC,"0,12%",22,JPP,"0,11%",19,VP,"0,09%",16,E,"0,06%",11,,,,,,,,,
União das freguesias de Assares e Lodões,PS,"53,15%",59,PPD/PSD,"25,23%",28,CH,"5,41%",6,PCP-PEV,"5,41%",6,B.E.,"3,60%",4,CDS-PP,"2,70%",3,R.I.R.,"1,80%",2,IL,"0,90%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,EMBRANCO,"0,90%",1,NULOS,"0,90%",1,,,,,,,,,,,,,,,,,,,,,
Soutelo de Aguiar,PS,"53,16%",185,PPD/PSD,"31,03%",108,CH,"5,46%",19,B.E.,"2,59%",9,PAN,"1,72%",6,PCP-PEV,"1,72%",6,CDS-PP,"1,15%",4,MAS,"0,29%",1,R.I.R.,"0,29%",1,E,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,86%",3,NULOS,"1,72%",6,,,,,,,,,,,,,,,
União de freguesias de Antime e Silvares (São Clemente),PS,"53,16%",714,PPD/PSD,"25,91%",348,CH,"5,66%",76,PCP-PEV,"5,06%",68,B.E.,"3,13%",42,IL,"2,08%",28,PAN,"1,27%",17,CDS-PP,"0,74%",10,L,"0,74%",10,R.I.R.,"0,52%",7,A,"0,15%",2,MPT,"0,15%",2,E,"0,07%",1,JPP,"0,07%",1,PTP,"0,07%",1,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,74%",10,NULOS,"0,45%",6,,,,,,,,,
Vila de Cucujães,PS,"53,16%","2,835",PPD/PSD,"26,76%","1,427",B.E.,"4,65%",248,IL,"3,69%",197,CH,"3,43%",183,CDS-PP,"1,61%",86,PCP-PEV,"1,52%",81,PAN,"0,96%",51,R.I.R.,"0,62%",33,PCTP/MRPP,"0,36%",19,L,"0,24%",13,VP,"0,17%",9,MPT,"0,13%",7,ADN,"0,11%",6,MAS,"0,08%",4,JPP,"0,04%",2,E,"0,02%",1,EMBRANCO,"1,22%",65,NULOS,"1,24%",66,,,,,,,,,
Souro Pires,PS,"53,18%",117,PPD/PSD,"25,00%",55,CH,"9,09%",20,IL,"3,64%",8,PCP-PEV,"2,27%",5,B.E.,"1,82%",4,CDS-PP,"1,36%",3,L,"0,91%",2,PAN,"0,45%",1,PTP,"0,45%",1,R.I.R.,"0,45%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,45%",1,NULOS,"0,91%",2,,,,,,,,,,,,,,,
União das freguesias de Sernancelhe e Sarzeda,PPD/PSD,"53,19%",508,PS,"32,57%",311,CH,"5,97%",57,CDS-PP,"1,68%",16,B.E.,"1,15%",11,IL,"1,15%",11,PAN,"0,52%",5,PCP-PEV,"0,52%",5,MPT,"0,31%",3,L,"0,21%",2,R.I.R.,"0,21%",2,E,"0,10%",1,MAS,"0,10%",1,NC,"0,10%",1,VP,"0,10%",1,ADN,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,26%",12,NULOS,"0,84%",8,,,,,,,,,
Vila Velha de Ródão,PS,"53,19%",458,PPD/PSD,"23,69%",204,CH,"7,20%",62,PCP-PEV,"4,65%",40,B.E.,"4,53%",39,IL,"1,63%",14,CDS-PP,"1,05%",9,L,"0,93%",8,PAN,"0,35%",3,R.I.R.,"0,35%",3,MAS,"0,12%",1,PCTP/MRPP,"0,12%",1,PTP,"0,12%",1,ADN,"0,00%",0,E,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,EMBRANCO,"1,28%",11,NULOS,"0,81%",7,,,,,,,,,
União das freguesias de Lustosa e Barrosas (Santo Estêvão),PS,"53,20%","1,648",PPD/PSD,"25,47%",789,CH,"6,13%",190,B.E.,"3,32%",103,IL,"2,94%",91,PCP-PEV,"2,32%",72,CDS-PP,"1,32%",41,R.I.R.,"0,90%",28,PAN,"0,81%",25,L,"0,68%",21,ADN,"0,16%",5,E,"0,16%",5,NC,"0,16%",5,JPP,"0,10%",3,MAS,"0,10%",3,PTP,"0,10%",3,A,"0,06%",2,VP,"0,06%",2,MPT,"0,00%",0,,,,,,,,,
Manteigas (São Pedro),PS,"53,21%",315,PPD/PSD,"26,01%",154,B.E.,"6,08%",36,CH,"4,39%",26,IL,"3,38%",20,PCP-PEV,"2,70%",16,CDS-PP,"0,84%",5,PAN,"0,51%",3,R.I.R.,"0,51%",3,VP,"0,34%",2,E,"0,17%",1,MPT,"0,17%",1,L,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,34%",2,NULOS,"1,35%",8,,,,,,,,,,,,,,,
"União das freguesias de Milhazes, Vilar de Figos e Faria",PPD/PSD,"53,21%",696,PS,"27,52%",360,CH,"7,19%",94,IL,"3,44%",45,B.E.,"2,29%",30,CDS-PP,"1,68%",22,L,"1,07%",14,PAN,"0,69%",9,PCP-PEV,"0,61%",8,E,"0,15%",2,R.I.R.,"0,15%",2,A,"0,08%",1,JPP,"0,08%",1,MAS,"0,08%",1,PTP,"0,08%",1,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,84%",11,NULOS,"0,84%",11,,,,,,,,,
Boavista dos Pinheiros,PS,"53,22%",422,PCP-PEV,"11,98%",95,PPD/PSD,"10,97%",87,CH,"7,31%",58,B.E.,"5,67%",45,IL,"3,28%",26,PAN,"1,51%",12,CDS-PP,"0,76%",6,L,"0,76%",6,PCTP/MRPP,"0,38%",3,R.I.R.,"0,25%",2,MAS,"0,13%",1,MPT,"0,13%",1,VP,"0,13%",1,E,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"2,27%",18,NULOS,"1,26%",10,,,,,,,,,,,,
Samuel,PS,"53,23%",321,PPD/PSD,"23,38%",141,B.E.,"5,64%",34,CH,"5,31%",32,PCP-PEV,"2,99%",18,CDS-PP,"1,49%",9,IL,"1,33%",8,L,"1,33%",8,PAN,"0,50%",3,MAS,"0,33%",2,PCTP/MRPP,"0,33%",2,MPT,"0,17%",1,R.I.R.,"0,17%",1,A,"0,00%",0,E,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,66%",10,NULOS,"2,16%",13,,,,,,,,,,,,
Terena (São Pedro),PS,"53,25%",205,PPD/PSD,"13,77%",53,PCP-PEV,"11,17%",43,CH,"10,91%",42,B.E.,"3,64%",14,IL,"1,56%",6,PAN,"1,04%",4,CDS-PP,"0,78%",3,L,"0,78%",3,VP,"0,52%",2,MPT,"0,26%",1,R.I.R.,"0,26%",1,E,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,30%",5,NULOS,"0,78%",3,,,,,,,,,,,,,,,
Maçãs de Dona Maria,PPD/PSD,"53,28%",447,PS,"28,13%",236,CH,"8,10%",68,CDS-PP,"3,46%",29,IL,"1,55%",13,B.E.,"1,31%",11,PCP-PEV,"1,07%",9,L,"0,60%",5,R.I.R.,"0,48%",4,PAN,"0,36%",3,MPT,"0,12%",1,ADN,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,72%",6,NULOS,"0,83%",7,,,,,,,,,
Pindo,PS,"53,31%",508,PPD/PSD,"28,02%",267,CH,"7,45%",71,B.E.,"2,31%",22,IL,"1,89%",18,PCP-PEV,"1,57%",15,CDS-PP,"0,84%",8,PAN,"0,63%",6,L,"0,31%",3,R.I.R.,"0,31%",3,E,"0,21%",2,NC,"0,21%",2,MPT,"0,10%",1,PTP,"0,10%",1,VP,"0,10%",1,ADN,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,36%",13,NULOS,"1,26%",12,,,,,,,,,
Penha Longa e Paços de Gaiolo,PS,"53,32%",635,PPD/PSD,"30,31%",361,CH,"3,78%",45,B.E.,"2,52%",30,IL,"2,43%",29,CDS-PP,"1,51%",18,PAN,"1,09%",13,R.I.R.,"1,09%",13,PCP-PEV,"0,84%",10,L,"0,34%",4,JPP,"0,17%",2,VP,"0,17%",2,A,"0,08%",1,E,"0,08%",1,MPT,"0,08%",1,NC,"0,08%",1,ADN,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,,,,,,,,,
Meirinhas,PPD/PSD,"53,33%",521,PS,"16,89%",165,CH,"11,46%",112,IL,"8,29%",81,B.E.,"2,35%",23,CDS-PP,"1,74%",17,L,"0,82%",8,ADN,"0,61%",6,PCP-PEV,"0,61%",6,R.I.R.,"0,51%",5,E,"0,20%",2,PAN,"0,20%",2,VP,"0,20%",2,MAS,"0,10%",1,MPT,"0,10%",1,NC,"0,10%",1,PTP,"0,00%",0,EMBRANCO,"1,74%",17,NULOS,"0,72%",7,,,,,,,,,
Vilas Boas,PPD/PSD,"53,33%",48,PS,"27,78%",25,CH,"7,78%",7,CDS-PP,"3,33%",3,PCP-PEV,"3,33%",3,IL,"1,11%",1,L,"1,11%",1,PAN,"1,11%",1,R.I.R.,"1,11%",1,B.E.,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,00%",0,,,,,,,,,,,,,,,
União das freguesias de Parreira e Chouto,PS,"53,35%",303,PPD/PSD,"21,30%",121,CH,"13,38%",76,PCP-PEV,"3,87%",22,CDS-PP,"1,76%",10,B.E.,"1,06%",6,L,"0,70%",4,IL,"0,53%",3,MAS,"0,53%",3,PAN,"0,53%",3,E,"0,35%",2,R.I.R.,"0,35%",2,VP,"0,35%",2,MPT,"0,18%",1,PTP,"0,00%",0,EMBRANCO,"0,70%",4,NULOS,"1,06%",6,,,,,,,,,,,,,,,
Loivo,PS,"53,36%",238,PPD/PSD,"25,78%",115,CH,"7,40%",33,B.E.,"2,91%",13,IL,"2,47%",11,PCP-PEV,"2,02%",9,CDS-PP,"1,79%",8,PAN,"1,57%",7,L,"0,45%",2,MPT,"0,45%",2,E,"0,22%",1,A,"0,00%",0,MAS,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,90%",4,NULOS,"0,67%",3,,,,,,,,,,,,,,,
Ramela,PS,"53,39%",63,PPD/PSD,"29,66%",35,CH,"5,08%",6,IL,"3,39%",4,CDS-PP,"2,54%",3,B.E.,"1,69%",2,E,"0,85%",1,L,"0,85%",1,PTP,"0,85%",1,R.I.R.,"0,85%",1,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,85%",1,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Lapa do Lobo,PS,"53,42%",195,PPD/PSD,"25,75%",94,CH,"5,21%",19,PCP-PEV,"4,66%",17,CDS-PP,"2,47%",9,B.E.,"1,37%",5,IL,"1,10%",4,R.I.R.,"0,82%",3,L,"0,55%",2,NC,"0,55%",2,E,"0,27%",1,MPT,"0,27%",1,PAN,"0,27%",1,ADN,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,64%",6,NULOS,"1,64%",6,,,,,,,,,
Vale de Espinho,PS,"53,45%",62,PPD/PSD,"29,31%",34,PCP-PEV,"5,17%",6,CDS-PP,"4,31%",5,CH,"4,31%",5,B.E.,"1,72%",2,IL,"0,86%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,86%",1,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Rebordelo – Vinhais,PS,"53,47%",177,PPD/PSD,"27,79%",92,CH,"11,48%",38,B.E.,"3,02%",10,CDS-PP,"0,91%",3,IL,"0,60%",2,PCP-PEV,"0,60%",2,E,"0,30%",1,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,30%",1,NULOS,"1,51%",5,,,,,,,,,,,,,,,,,,,,,
Santiago de Piães,PS,"53,47%",324,PPD/PSD,"32,18%",195,B.E.,"2,97%",18,CH,"2,97%",18,CDS-PP,"1,49%",9,IL,"1,16%",7,R.I.R.,"1,16%",7,PCP-PEV,"0,99%",6,E,"0,33%",2,L,"0,33%",2,MPT,"0,17%",1,PAN,"0,17%",1,ADN,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,65%",10,NULOS,"0,99%",6,,,,,,,,,
Cárquere,PPD/PSD,"53,48%",246,PS,"38,70%",178,CH,"3,48%",16,PCP-PEV,"0,87%",4,R.I.R.,"0,87%",4,B.E.,"0,43%",2,IL,"0,22%",1,PTP,"0,22%",1,VP,"0,22%",1,ADN,"0,00%",0,CDS-PP,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,EMBRANCO,"0,43%",2,NULOS,"1,09%",5,,,,,,,,,
"União das freguesias de Provesende, Gouvães do Douro e São Cristóvão do Douro",PS,"53,51%",145,PPD/PSD,"27,31%",74,CH,"7,38%",20,B.E.,"3,32%",9,IL,"2,21%",6,CDS-PP,"1,48%",4,PCP-PEV,"0,74%",2,R.I.R.,"0,74%",2,E,"0,37%",1,MAS,"0,37%",1,NC,"0,37%",1,PAN,"0,37%",1,L,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,48%",4,NULOS,"0,37%",1,,,,,,,,,,,,,,,
União das freguesias de Caldas de Vizela (São Miguel e São João),PS,"53,52%","3,487",PPD/PSD,"24,94%","1,625",IL,"5,08%",331,B.E.,"4,42%",288,CH,"3,48%",227,PCP-PEV,"2,32%",151,PAN,"1,18%",77,CDS-PP,"0,95%",62,L,"0,80%",52,R.I.R.,"0,40%",26,E,"0,18%",12,VP,"0,09%",6,JPP,"0,08%",5,PTP,"0,08%",5,MAS,"0,06%",4,MPT,"0,06%",4,A,"0,00%",0,EMBRANCO,"1,38%",90,NULOS,"0,97%",63,,,,,,,,,
Macieira,PS,"53,54%",423,PPD/PSD,"29,87%",236,CH,"5,57%",44,B.E.,"2,78%",22,IL,"1,90%",15,R.I.R.,"1,39%",11,PAN,"1,01%",8,PCP-PEV,"0,89%",7,CDS-PP,"0,51%",4,ADN,"0,38%",3,L,"0,25%",2,A,"0,13%",1,MAS,"0,13%",1,MPT,"0,13%",1,VP,"0,13%",1,E,"0,00%",0,JPP,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,,,,,,,,,
Várzea de Abrunhais,PS,"53,54%",106,PPD/PSD,"27,78%",55,CH,"9,09%",18,B.E.,"3,03%",6,CDS-PP,"2,53%",5,IL,"1,01%",2,PCP-PEV,"1,01%",2,PAN,"0,51%",1,R.I.R.,"0,51%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"1,01%",2,,,,,,,,,
Azinhoso,PPD/PSD,"53,55%",83,PS,"30,97%",48,CH,"4,52%",7,B.E.,"3,23%",5,CDS-PP,"1,94%",3,L,"1,94%",3,R.I.R.,"1,29%",2,MPT,"0,65%",1,PAN,"0,65%",1,PCP-PEV,"0,65%",1,E,"0,00%",0,IL,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,65%",1,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Gavião e Atalaia,PS,"53,56%",481,PPD/PSD,"21,83%",196,CH,"10,13%",91,PCP-PEV,"5,01%",45,B.E.,"3,01%",27,CDS-PP,"1,11%",10,IL,"0,89%",8,PAN,"0,89%",8,PCTP/MRPP,"0,67%",6,L,"0,33%",3,MPT,"0,33%",3,MAS,"0,22%",2,R.I.R.,"0,22%",2,VP,"0,22%",2,E,"0,11%",1,PTP,"0,00%",0,EMBRANCO,"1,00%",9,NULOS,"0,45%",4,,,,,,,,,,,,
Quintela de Azurara,PS,"53,58%",157,PPD/PSD,"29,01%",85,CH,"6,83%",20,B.E.,"2,05%",6,IL,"2,05%",6,CDS-PP,"1,37%",4,ADN,"0,34%",1,E,"0,34%",1,PCP-PEV,"0,34%",1,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"3,07%",9,NULOS,"1,02%",3,,,,,,,,,
Cervos,PPD/PSD,"53,59%",82,PS,"31,37%",48,CH,"8,50%",13,R.I.R.,"1,96%",3,B.E.,"0,65%",1,E,"0,65%",1,IL,"0,65%",1,PAN,"0,65%",1,PCP-PEV,"0,65%",1,CDS-PP,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,65%",1,NULOS,"0,65%",1,,,,,,,,,,,,,,,
Ameixial,PS,"53,62%",111,PPD/PSD,"31,88%",66,CH,"6,76%",14,PCP-PEV,"2,90%",6,B.E.,"0,97%",2,PAN,"0,97%",2,IL,"0,48%",1,ADN,"0,00%",0,CDS-PP,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,48%",1,NULOS,"1,93%",4,,,,,,,,,,,,
"Caia, São Pedro e Alcáçova",PS,"53,62%","1,053",CH,"18,64%",366,PPD/PSD,"13,65%",268,B.E.,"3,56%",70,PCP-PEV,"2,95%",58,IL,"2,39%",47,CDS-PP,"1,17%",23,PAN,"0,92%",18,L,"0,71%",14,E,"0,25%",5,PCTP/MRPP,"0,25%",5,R.I.R.,"0,25%",5,MAS,"0,05%",1,PTP,"0,05%",1,VP,"0,05%",1,MPT,"0,00%",0,EMBRANCO,"1,02%",20,NULOS,"0,46%",9,,,,,,,,,,,,
Nespereira – Guimarães,PS,"53,63%",902,PPD/PSD,"25,80%",434,CH,"5,71%",96,IL,"3,98%",67,B.E.,"3,09%",52,PCP-PEV,"2,97%",50,PAN,"1,31%",22,CDS-PP,"0,77%",13,L,"0,48%",8,R.I.R.,"0,42%",7,E,"0,06%",1,JPP,"0,06%",1,MPT,"0,06%",1,PTP,"0,06%",1,A,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,19%",20,NULOS,"0,42%",7,,,,,,,,,
São Roque do Faial,PPD/PSD.CDS-PP,"53,64%",184,PS,"26,82%",92,JPP,"4,96%",17,CH,"4,08%",14,B.E.,"1,75%",6,PAN,"1,75%",6,PCP-PEV,"1,75%",6,IL,"1,46%",5,L,"1,46%",5,MPT,"0,58%",2,R.I.R.,"0,58%",2,E,"0,29%",1,PTP,"0,29%",1,ADN,"0,00%",0,MAS,"0,00%",0,PPM,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,58%",2,,,,,,,,,,,,
Abiul,PPD/PSD,"53,65%",558,PS,"21,35%",222,CH,"9,23%",96,IL,"4,23%",44,CDS-PP,"2,60%",27,B.E.,"2,12%",22,PCP-PEV,"1,73%",18,L,"0,77%",8,R.I.R.,"0,58%",6,ADN,"0,38%",4,NC,"0,29%",3,E,"0,19%",2,PAN,"0,19%",2,MAS,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,73%",18,NULOS,"0,96%",10,,,,,,,,,
Vale da Madre,PPD/PSD,"53,66%",44,PS,"21,95%",18,CH,"10,98%",9,B.E.,"4,88%",4,IL,"2,44%",2,PAN,"2,44%",2,CDS-PP,"1,22%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PCP-PEV,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,22%",1,NULOS,"1,22%",1,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Pedrógão de São Pedro e Bemposta,PS,"53,68%",124,PPD/PSD,"25,54%",59,CH,"9,52%",22,B.E.,"3,03%",7,CDS-PP,"3,03%",7,PCTP/MRPP,"0,87%",2,MPT,"0,43%",1,PAN,"0,43%",1,PCP-PEV,"0,43%",1,PTP,"0,43%",1,ADN,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"1,73%",4,NULOS,"0,87%",2,,,,,,,,,
União das freguesias de Semide e Rio Vide,PS,"53,68%",920,PPD/PSD,"26,02%",446,CH,"5,37%",92,B.E.,"3,56%",61,IL,"2,33%",40,CDS-PP,"1,69%",29,PCP-PEV,"1,63%",28,PAN,"0,76%",13,R.I.R.,"0,53%",9,L,"0,47%",8,PCTP/MRPP,"0,35%",6,A,"0,18%",3,E,"0,12%",2,MPT,"0,06%",1,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,87%",32,NULOS,"1,40%",24,,,,,,,,,,,,
Alhadas,PS,"53,69%","1,099",PPD/PSD,"20,86%",427,CH,"6,45%",132,B.E.,"4,98%",102,PCP-PEV,"3,86%",79,IL,"2,78%",57,PAN,"1,56%",32,CDS-PP,"1,03%",21,L,"0,68%",14,R.I.R.,"0,54%",11,PCTP/MRPP,"0,24%",5,A,"0,20%",4,E,"0,10%",2,MAS,"0,10%",2,MPT,"0,05%",1,VP,"0,05%",1,EMBRANCO,"1,56%",32,NULOS,"1,27%",26,,,,,,,,,,,,
Valença do Douro,PS,"53,69%",80,PPD/PSD,"30,20%",45,CH,"4,70%",7,PAN,"3,36%",5,B.E.,"2,68%",4,IL,"2,01%",3,CDS-PP,"0,67%",1,VP,"0,67%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"2,01%",3,,,,,,,,,
Cabaços,PS,"53,70%",87,PPD/PSD,"25,31%",41,CH,"11,73%",19,CDS-PP,"3,09%",5,B.E.,"1,23%",2,PCP-PEV,"1,23%",2,VP,"0,62%",1,ADN,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"3,09%",5,,,,,,,,,
Taíde,PS,"53,72%",505,PPD/PSD,"30,64%",288,CH,"3,94%",37,IL,"3,30%",31,B.E.,"2,02%",19,CDS-PP,"1,06%",10,PAN,"0,96%",9,R.I.R.,"0,64%",6,PCP-PEV,"0,43%",4,L,"0,32%",3,MPT,"0,21%",2,E,"0,11%",1,A,"0,00%",0,JPP,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"2,02%",19,NULOS,"0,64%",6,,,,,,,,,
Espírito Santo,PS,"53,75%",86,PCP-PEV,"19,38%",31,PPD/PSD,"15,00%",24,CH,"5,00%",8,B.E.,"3,13%",5,IL,"1,88%",3,CDS-PP,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,PCTP/MRPP,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,25%",2,NULOS,"0,63%",1,,,,,,,,,,,,
Gondarém,PS,"53,75%",294,PPD/PSD,"26,51%",145,CH,"6,22%",34,B.E.,"3,29%",18,CDS-PP,"2,56%",14,IL,"2,01%",11,PCP-PEV,"1,65%",9,PAN,"1,10%",6,E,"0,37%",2,R.I.R.,"0,37%",2,A,"0,18%",1,L,"0,18%",1,MAS,"0,18%",1,MPT,"0,18%",1,VP,"0,18%",1,EMBRANCO,"0,55%",3,NULOS,"0,73%",4,,,,,,,,,,,,,,,
Santa Eulália – Elvas,PS,"53,76%",250,CH,"21,29%",99,PPD/PSD,"12,69%",59,PCP-PEV,"4,09%",19,B.E.,"2,80%",13,IL,"1,08%",5,CDS-PP,"0,65%",3,PCTP/MRPP,"0,65%",3,L,"0,22%",1,MPT,"0,22%",1,PAN,"0,22%",1,E,"0,00%",0,MAS,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,86%",4,NULOS,"1,51%",7,,,,,,,,,,,,
